secteur,forme,region,anciennete,nb_employes,experience_dirigeant,ca,resultat_net,fonds_propres,dettes,tresorerie,ratio_endettement,marge,incidents,utilisation_decouvert,anciennete_banque,montant_credit,duree,ratio_credit_ca,garantie,ltv,default
BTP,SARL,Ouaga,7,182,29,265249179.25775582,25885805.474726908,47213627.16971811,62293814.12511559,44175668.97697416,0.23485016730091968,0.09759052053304332,0,0.7080725777960455,6,35795242.12758807,48,0.13494949250268576,40974721.96012665,0.8735932891117885,0
BTP,SAS,Bobo,1,60,22,126148427.64819969,2638850.9810214443,30983891.825480018,71540253.90237652,-1908188.5854519475,0.5671117368334276,0.020918619678563264,0,0.3663618432936917,14,45369801.669189826,36,0.35965411947675047,29227942.72157207,1.5522748932891552,0
Services,SA,Banfora,5,53,7,127969537.98729059,-4184267.9492188715,28218912.56398912,78056057.69405672,13116770.718193822,0.609958111295275,-0.032697374820829905,1,0.3910606075732408,2,205506239.61911497,24,1.6058996762145457,140286838.40253937,1.464900356720813,0
Commerce,SARL,Fada,18,46,2,313692778.5255967,-22388106.381151013,125147730.66938202,236249729.84645566,-8744774.214442661,0.7531245410138703,-0.07136953068023588,0,0.045227288910538066,8,256469477.6298824,60,0.817581707922406,139574313.2799476,1.8375120149470145,0
Transport,SARL,Ouaga,13,43,29,269854735.3655647,30971479.440780345,108746057.8548835,203950954.13717893,30431317.836578324,0.7557805271080096,0.11477093184532836,2,0.09541011649041131,7,107075050.08038542,60,0.39678773817081187,102432871.30017176,1.0453192292795357,1
Commerce,SA,Bobo,1,103,15,306529815.15120286,34552599.36507714,141268789.87103766,104707811.3277119,4296653.152966653,0.3415909518493735,0.11272182233898936,0,0.7106628896857874,10,27117355.48834665,60,0.08846563742900636,13058288.833203193,2.07663927752889,0
Industrie,SARL,Fada,4,153,7,377347285.36898196,-18770673.37131633,150724857.57723725,232774582.1124779,64193172.95832623,0.6168709598238229,-0.049743761513910925,0,0.295633685837714,5,264008965.25256097,48,0.6996445330046691,131105899.9948082,2.0137077375085006,1
Services,Entreprise Individuelle,Bobo,23,94,25,137807573.8071623,8453178.831398746,32531699.901907347,81115477.21583666,-6872450.717560733,0.5886140723248174,0.061340451746342305,0,0.30478125815802903,6,163009244.7217184,12,1.1828758044156662,120031364.1212277,1.3580554208905304,0
Transport,SAS,Ouaga,24,61,22,236158736.11395612,17121201.890320744,138363287.8281806,183605949.2726862,3057210.3837992456,0.7774683769652668,0.07249870223754531,0,0.30087830981676966,1,299367335.8137037,36,1.2676530233005943,254045486.3476659,1.1784005302263627,0
Services,Entreprise Individuelle,Koudougou,5,131,19,50000000.0,5424585.435105984,17236319.006939076,39569513.62331803,525690.893893755,0.7913902724663606,0.10849170870211969,1,0.23763754399239967,6,122979277.1613909,48,2.459585543227818,145740383.4583465,0.8438243007404955,1
Agroalimentaire,SA,Bobo,16,99,9,81135640.98431739,-2052794.061701714,21337006.452482373,26948767.33603646,10368111.238298176,0.332144628539329,-0.02530076840211931,1,0.09617655109142076,9,213462566.66869047,24,2.63093461860923,224976544.398758,0.9488214304258329,0
Agroalimentaire,SARL,Ouaga,18,153,10,132044272.44766738,-7068648.342483272,24755325.274525527,104222677.07917316,10452488.973424949,0.7893010059976615,-0.05353241160297023,0,0.9962536997579243,14,271220412.22693145,60,2.0540111827601097,296816217.2297351,0.9137654766922909,0
Transport,SARL,Koudougou,19,50,16,274116901.4613374,-8480682.27338281,135049263.08362544,164851972.79004285,26088159.273986522,0.6013929528285372,-0.03093819544935635,0,0.9401334424577784,9,21417243.47694123,24,0.07813178743362532,15785630.239759171,1.3567556791617827,1
Agroalimentaire,SAS,Ouaga,4,163,4,346048495.63761324,17593929.589308605,65545514.319702916,145299282.08934858,47077347.71851413,0.41988127074971593,0.050842381374584016,1,0.5425402305548993,11,122960424.85664138,60,0.35532714751462824,90753147.18817024,1.3548888238739714,0
BTP,Entreprise Individuelle,Fada,21,32,1,168241180.01144528,7635051.985522325,58816559.644000724,91389032.87016194,23913549.566784393,0.5432025195255099,0.04538158841374579,0,0.994550510797341,14,287100001.5607245,60,1.7064787678093636,314416022.12259763,0.913121410361136,1
Commerce,Entreprise Individuelle,Ouaga,17,48,21,526420299.99075425,-49693034.52925217,277162776.72011423,198286384.45528078,24359800.454558175,0.37666933524175145,-0.09439802099220898,1,0.1694927466860925,9,130513610.70665222,24,0.24792662955616357,148395952.82821608,0.8794957559101053,0
Industrie,SAS,Banfora,15,88,23,206985046.21352,27748104.683406163,108529482.98260313,58364152.80407258,26334241.55350236,0.2819727988652173,0.1340584993506342,0,0.2965101436477985,10,246831750.5101706,12,1.1925100630484478,209896424.89560282,1.1759692935834352,0
Industrie,SAS,Fada,4,175,20,62843564.26032522,-6566857.791800893,18752011.39751941,14482998.117731038,10787367.230580522,0.23046111862363816,-0.10449531100110948,0,0.5788648955075587,7,208167317.88265583,36,3.312468354282656,149680256.9462997,1.3907466631176304,0
Services,SARL,Ouaga,22,51,20,50000000.0,-6381148.524619326,10395525.68742108,28686714.274570014,-1433156.6875779002,0.5737342854914003,-0.12762297049238652,0,0.531354631568148,3,198480372.41949785,48,3.969607448389957,83256736.48524068,2.383955710955394,0
BTP,SA,Koudougou,19,147,24,251123104.02008024,-13864052.709139794,118535459.41862915,88022745.38606073,-983544.082623954,0.35051631640799674,-0.05520819266406965,0,0.42831447494010777,12,134506824.43599558,24,0.5356210650583555,151144290.29573992,0.8899232923242402,0
Commerce,SA,Ouaga,22,50,25,50000000.0,7206624.324310762,21427783.21250417,23070186.960336734,6625491.457022731,0.46140373920673466,0.14413248648621524,0,0.5660372104940763,3,232196910.93002334,12,4.643938218600467,141104135.5482079,1.6455712657032209,0
Transport,SAS,Ouahigouya,14,192,20,310143433.6465731,-13271947.823267238,46185654.62077334,153511548.0556542,21203868.498823307,0.49496952507009945,-0.042792935085614006,0,0.43385164923797304,7,33456498.775169443,60,0.107874277336128,36735648.79499434,0.9107365698609434,0
BTP,SAS,Bobo,19,188,1,432025115.531599,-43228714.468588874,181973142.99656487,93277154.30610275,41666185.01723443,0.2159067863249731,-0.10006065137068879,1,0.3881699262065219,12,55980098.905494854,60,0.12957602901537882,44283343.31901258,1.2641344286545861,0
Agroalimentaire,SAS,Bobo,1,170,10,249664980.4700969,11701539.676775213,33625041.96119904,65029438.74144576,-11345911.087148927,0.260466800826456,0.0468689667839769,0,0.6830067734163568,1,203602337.9066078,60,0.8155021882654218,215897431.06964022,0.9430512299191439,0
BTP,SAS,Banfora,9,137,4,74844632.76765785,-10610293.959912114,34992524.44258617,51050667.65581361,1534961.8645878024,0.6820885582309093,-0.14176425974124193,0,0.7506147516408583,3,297341439.7601885,48,3.9727823995507245,188757185.84986648,1.5752589148933789,0
BTP,SARL,Fada,5,14,17,359176600.1982857,38927495.775891595,171424732.12861827,94059128.40432768,63085141.120147556,0.2618743213015596,0.10837982138703196,0,0.8264574661077416,6,103337848.86260705,36,0.28770763130326066,67198692.4874756,1.537795529010732,0
BTP,SA,Fada,12,11,7,212428170.133082,17573698.912511904,88352828.41491736,99643111.00955397,4950148.417128079,0.46906731318699185,0.08272772345354354,0,0.6725184560770384,4,284934472.00687325,12,1.3413215009495563,114577320.42264237,2.48683134634178,1
